feedback_id,department,feedback_text,rating,sentiment_score
1,ICU,Very satisfied with the treatment received.,4,1.0
2,Emergency,Decent facilities but crowded at times.,3,0.17
3,Cardiology,Wait time was a bit long but care was fine.,3,0.02
4,ICU,Would highly recommend this department.,4,0.33
5,Cardiology,Not enough staff during night shifts.,2,-0.81
6,Orthopedics,Excellent care and attentive staff.,5,0.47
7,ICU,Decent facilities but crowded at times.,3,0.12
8,Neurology,Could improve communication between shifts.,3,0.28
9,ICU,Clean facility and smooth process.,4,0.37
10,Emergency,Decent facilities but crowded at times.,3,-0.02
11,Neurology,Clean facility and smooth process.,4,0.98
12,ICU,Very satisfied with the treatment received.,5,0.86
13,Cardiology,Waited too long for treatment.,2,-0.31
14,Pediatrics,Decent facilities but crowded at times.,3,0.11
15,Neurology,Decent facilities but crowded at times.,3,-0.05
16,Emergency,Decent facilities but crowded at times.,3,0.15
17,ICU,Could improve communication between shifts.,3,0.23
18,Neurology,Average experience overall.,3,-0.05
19,Neurology,Staff was compassionate and helpful.,4,0.44
20,Pediatrics,Average experience overall.,3,0.04
21,Cardiology,Staff was compassionate and helpful.,5,0.8
22,Pediatrics,Excellent care and attentive staff.,5,0.34
23,Pediatrics,Wait time was a bit long but care was fine.,3,-0.03
24,ICU,Quick response and great follow-up.,4,0.91
25,Pediatrics,Could improve communication between shifts.,3,-0.01
26,Orthopedics,The doctor was very thorough and professional.,5,0.75
27,Emergency,Could improve communication between shifts.,3,0.21
28,ICU,Would highly recommend this department.,4,0.89
29,Neurology,Would highly recommend this department.,4,0.93
30,Emergency,Miscommunication about treatment plan.,2,-0.55
31,Pediatrics,Billing errors caused unnecessary stress.,1,-0.96
32,Cardiology,Miscommunication about treatment plan.,2,-0.31
33,Cardiology,Clean facility and smooth process.,4,1.0
34,Orthopedics,Very satisfied with the treatment received.,5,0.4
35,Pediatrics,Very satisfied with the treatment received.,5,0.65
36,Pediatrics,Impressed with the level of expertise.,5,0.55
37,Emergency,Waited too long for treatment.,1,-0.66
38,Cardiology,Miscommunication about treatment plan.,2,-0.61
39,Emergency,The doctor was very thorough and professional.,4,0.37
40,ICU,Would highly recommend this department.,5,0.36
41,Emergency,Impressed with the level of expertise.,5,0.83
42,Cardiology,Staff was compassionate and helpful.,4,0.71
43,Orthopedics,Felt rushed during consultation.,2,-0.23
44,Orthopedics,Staff seemed overworked and inattentive.,2,-0.28
45,Cardiology,Could improve communication between shifts.,3,-0.01
46,Emergency,Staff seemed overworked and inattentive.,1,-0.47
47,Emergency,Wait time was a bit long but care was fine.,3,0.06
48,Orthopedics,Equipment appeared outdated in some areas.,1,-0.92
49,Pediatrics,"Service was adequate, nothing exceptional.",3,0.2
50,ICU,Staff seemed overworked and inattentive.,1,-0.86
51,ICU,Excellent care and attentive staff.,5,0.33
52,Orthopedics,Decent facilities but crowded at times.,3,0.19
53,ICU,Wait time was a bit long but care was fine.,3,0.25
54,ICU,Average experience overall.,3,0.01
55,Orthopedics,Staff was compassionate and helpful.,5,0.56
56,Emergency,Very satisfied with the treatment received.,5,0.56
57,Pediatrics,Waited too long for treatment.,1,-0.65
58,ICU,Staff was compassionate and helpful.,4,0.88
59,ICU,Staff was compassionate and helpful.,5,0.6
60,Orthopedics,Wait time was a bit long but care was fine.,3,-0.03
61,Neurology,Very satisfied with the treatment received.,5,0.51
62,Orthopedics,Average experience overall.,3,0.22
63,Cardiology,Miscommunication about treatment plan.,2,-0.35
64,ICU,Average experience overall.,3,0.14
65,Orthopedics,The doctor was very thorough and professional.,5,0.5
66,Orthopedics,Could improve communication between shifts.,3,0.01
67,Orthopedics,Impressed with the level of expertise.,4,0.79
68,ICU,Would highly recommend this department.,4,0.35
69,Orthopedics,Clean facility and smooth process.,5,0.89
70,ICU,Equipment appeared outdated in some areas.,1,-0.17
71,Emergency,Average experience overall.,3,0.01
72,ICU,Very satisfied with the treatment received.,5,0.32
73,Neurology,Would highly recommend this department.,4,0.79
74,Orthopedics,Waited too long for treatment.,1,-0.7
75,Neurology,Average experience overall.,3,0.29
76,Neurology,Felt rushed during consultation.,2,-0.77
77,Cardiology,Could improve communication between shifts.,3,0.05
78,Pediatrics,Would highly recommend this department.,5,0.39
79,Neurology,The doctor was very thorough and professional.,4,0.81
80,Cardiology,The doctor was very thorough and professional.,5,0.53
81,Pediatrics,Would highly recommend this department.,5,0.34
82,Neurology,Not enough staff during night shifts.,2,-0.18
83,Orthopedics,Equipment appeared outdated in some areas.,1,-0.95
84,Pediatrics,Excellent care and attentive staff.,5,0.97
85,Pediatrics,Decent facilities but crowded at times.,3,0.0
86,Emergency,Quick response and great follow-up.,4,0.86
87,Orthopedics,The doctor was very thorough and professional.,5,0.54
88,ICU,Very satisfied with the treatment received.,4,0.91
89,Neurology,Clean facility and smooth process.,5,0.43
90,Emergency,Not enough staff during night shifts.,2,-0.59
91,Cardiology,The doctor was very thorough and professional.,4,0.69
92,ICU,Quick response and great follow-up.,4,0.35
93,Cardiology,Follow-up was poorly managed.,1,-0.44
94,Orthopedics,Staff was compassionate and helpful.,4,0.76
95,ICU,Clean facility and smooth process.,4,0.57
